,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,395,395,600585.XSHG,600585,海螺水泥,XSHG,2021-01-04,51.62,51.62,51.7,52.43,51.31,52.28,31900434,1655911374,62181,0.008,1.0,209104451928.0,277047539928.0,0.0128,8.0313,8.4059,1.8284,1,51.909
1,396,396,600585.XSHG,600585,海螺水泥,XSHG,2021-01-05,52.28,52.28,52.25,52.32,51.01,51.81,41983750,2165511202,71676,0.0105,1.0,207224591706.0,274556867706.0,-0.009000000000000001,7.9591,8.3303,1.8119999999999998,1,51.58
2,397,397,600585.XSHG,600585,海螺水泥,XSHG,2021-01-06,51.81,51.81,51.82,56.9,51.82,55.88,111772803,6107596751,184217,0.0279,1.0,223503381288.0,296125029288.0,0.0786,8.5843,8.9847,1.9543,1,54.643
3,398,398,600585.XSHG,600585,海螺水泥,XSHG,2021-01-07,55.88,55.88,55.01,55.05,53.54,54.93,68864293,3741964542,119376,0.0172,1.0,219703663818.0,291090691818.0,-0.017,8.4384,8.832,1.9211,1,54.338
4,399,399,600585.XSHG,600585,海螺水泥,XSHG,2021-01-08,54.93,54.93,55.2,56.68,55.16,56.45,66114248,3715962622,109993,0.0165,1.0,225783211770.0,299145631770.0,0.0277,8.6719,9.0764,1.9742,1,56.205
5,400,400,600585.XSHG,600585,海螺水泥,XSHG,2021-01-11,56.45,56.45,57.6,58.16,56.06,56.51,65944693,3760229969,116470,0.0165,1.0,226023193926.0,299463589926.0,0.0011,8.6811,9.086,1.9763,1,57.021
6,401,401,600585.XSHG,600585,海螺水泥,XSHG,2021-01-12,56.51,56.51,56.52,57.1,55.4,56.94,43073145,2427348381,85651,0.0108,1.0,227743066044.0,301742290044.0,0.0076,8.7471,9.1552,1.9914,1,56.354
7,402,402,600585.XSHG,600585,海螺水泥,XSHG,2021-01-13,56.94,56.94,56.94,58.88,56.41,57.3,54063426,3127712729,107294,0.0135,1.0,229182958980.0,303650038980.0,0.0063,8.8024,9.213,2.004,1,57.853
8,403,403,600585.XSHG,600585,海螺水泥,XSHG,2021-01-14,57.3,57.3,57.0,57.27,55.72,56.19,40523883,2279159949,77210,0.0101,1.0,224743289094.0,297767813094.0,-0.0194,8.6319,9.0346,1.9651,1,56.242
9,404,404,600585.XSHG,600585,海螺水泥,XSHG,2021-01-15,56.19,56.19,55.8,56.18,55.01,55.58,32552383,1806551915,63560,0.0081,1.0,222303470508.0,294535238508.0,-0.0109,8.5382,8.9365,1.9438,1,55.497
